Conexiones desvío-desvío,,,,
,,,,
Origen,RamaO,Destino,RamaD,Comentario
2B5,R,2B3,R,Frontal exterior izquierda a puerto interior
2B4,V,2B3,V,Frontal interior izquierda a puerto interior
3A5,V,3A6,C,Desvío triple subida
3A6,R,3A4,R,Desvío triple a subida exterior
1A1,V,1A2,V,Rodeo montaña a metro interior
1A2,R,1A3,R,Rodeo montaña a metro exterior
2A3,V,2A6,C,Desvío triple metro
1B1,R,1B2,R,Bajada exterior montaña a estación interior via frontal
3B1,R,3B2,R,Desvíos curvos +65
4A3,R,4A2,C,Estación +65 izquierda
3B3,R,3B5,C,Estación +65 derecha
3B5,V,3B6,C,Estación +65 derecha vía muerta
