Limpieza

Ref,Tramo,Inv
1,M2,X
1,C1,X
1,B3,X
1,B1,X
1,D3,
1,D1,
1,K1,
1,H2,X
1,G3,X
1,F4,X
1,A3,X
1,A1,X
1,E1,X
1,F3,X
1,F2,
1,G3,
1,H3,
1,H1,
1,J1,X
1,L4,
1,J3,
1,J4,
1,G1,X
1,F1,
1,E3,
1,C4,X
1,B4,X
1,B2,X
1,D4,
1,E4,
1,K2,
1,K3,X
1,M4,
1,M1,
1,G4,
1,J4,X
1,J3,X
1,M1,X
1,M4,X
1,K3,
1,K2,X
1,E4,X
1,D4,X
1,B2,
1,B4,
1,C4,
1,E3,X
1,F1,X
1,G1,
1,M2,
1,L4,X
1,J1,
1,H1,X
1,H3,X
1,F2,X
1,E1,
1,A1,
1,A3,
1,F3,
1,C3,X
1,H4,X
1,G2,X
1,C2,X
1,A2,X
1,A4,
1,H2,
1,K1,X
1,D1,X
1,D3,X
1,B1,
1,B3,
1,C1,
1,A4,X
1,A2,
1,C2,
1,G2,
1,H4,
1,L3,
1,F4,
1,C3,
1,E2,X
1,J2,
1,D2,X
1,L1,
1,G4,X
1,L3,X
1,D2,
1,J2,X
1,E2,
1,L2,
1,L2,X
1,L1,X
