Semáforos,,,,,,
,,,,,,
"Placa/
Zona",C,Par,Ref,Tramo,Inv,%
1,A,1,S1A1,E3,X,
1,A,2,S1A2,E2,X,
1,A,3,S1A3,E1,X,
1,B,1,S1B1,E3,,
1,B,2,S1B2,E2,,
1,B,3,S1B3,E1,,
1,C,1,S1C1,D1,X,
1,C,2,S1C2,E4,X,
1,C,3,S1C3,D2,X,
1,D,1,S1D1,D1,,
1,D,2,S1D2,E4,,
1,D,3,S1D3,D2,,
2,A,1,S2A1,,,
2,A,2,S2A2,,,
2,A,3,S2A3,,,
2,B,1,S2B1,,,
2,B,2,S2B2,,,
2,B,3,S2B3,,,
2,C,1,S2C1,,,
2,C,2,S2C2,,,
2,C,3,S2C3,,,
2,D,1,S2D1,,,
2,D,2,S2D2,,,
2,D,3,S2D3,,,
3,A,1,S3A1,,,
3,A,2,S3A2,,,
3,A,3,S3A3,,,
3,B,1,S3B1,,,
3,B,2,S3B2,,,
3,B,3,S3B3,,,
3,C,1,S3C1,,,
3,C,2,S3C2,,,
3,C,3,S3C3,,,
3,D,1,S3D1,,,
3,D,2,S3D2,,,
3,D,3,S3D3,,,
4,A,1,S4A1,,,
4,A,2,S4A2,,,
4,A,3,S4A3,,,
4,B,1,S4B1,,,
4,B,2,S4B2,,,
4,B,3,S4B3,,,
4,C,1,S4C1,,,
4,C,2,S4C2,,,
4,C,3,S4C3,,,
4,D,1,S4D1,,,
4,D,2,S4D2,,,
4,D,3,S4D3,,,
