Tramos,,,,,,,,
,,,,,,,,
"Conector/
Zona",Par,Ref,"Longitud
(metros)",Comentario,Pasado,,,
A,4,A4,2.33,Tunel visto via exterior,X,,,
A,3,A3,1.35,Tunel visto via interior,X,,,
A,2,A2,0.69,Continuacion via interior tunel visto hacia desvio detras espiral,X,,,
A,1,A1,1.27,Desde interior tunel visto hacia estacion interior,X,,,
B,4,B4,1.73,Segundo piso espiral via interior,X,,,
B,3,B3,1.9,Segundo piso espiral via exterior,X,,,
B,2,B2,1.25,"Tercer piso espiral, estacion interior",X,,,
B,1,B1,1.35,"Tercer piso espiral, estacion exterior",X,,,
C,4,C4,3.12,Primer piso espiral interior,X,,,
C,3,C3,3.26,Primer piso espiral exterior,X,,,
C,2,C2,1.91,Via detrás de la espiral hasta la estacion interior,X,,,
C,1,C1,1.02,Desvio salida rampa hasta desvio curvo +65,X,pendiente conexion,,
D,4,D4,1.29,Via desde espiral a estacion rampa interior,X,,,
D,3,D3,1.3,Via desde espiral a estacion rampa exterior,X,,,
D,2,D2,0.78,Estacion rampa interior,X,,,
D,1,D1,0.84,Estacion rampa exterior,X,,,
E,4,E4,0.78,Estacion rampa centro,X,,,
E,3,E3,1.19,Estacion interior exterior,X,,,
E,2,E2,1.12,Estacion interior centro,X,,,
E,1,E1,1.23,Estacion interior interior (frontal),X,,,
F,4,F4,0.85,Tunel visto via interior tramo desvio,X,,,
F,3,F3,1.17,Via tunel bajo estacion derecha,X,,,
F,2,F2,0.83,Via tunel bajo estacion centro derecha,X,,,
F,1,F1,1.09,Via tunel bajo estacion centro izquierda,X,,,
G,4,G4,1.32,Via tunel bajo estacion izquierda,X,,,
G,3,G3,0.925,Via desde desvio triple hasta desvio muelle 1ª,X,,,
G,2,G2,0.67,Via entre desvios direccion muelle 2ª ,X,,,
G,1,G1,0.515,Via entre desvios direccion muelle 3ª,X,,,
H,4,H4,0.7,Via muelle 3ª,X,,,
H,3,H3,0.795,Via muelle 2ª,X,,,
H,2,H2,1.5,Via muelle 1ª,X,,,
H,1,H1,0.65,Salida muelle interior,X,,,
J,4,J4,2.74,"Vuelta ciudad, hasta desvio playa",X,,,
J,3,J3,2.15,Desvio playa direccion puente y estacion arriba,X,,,
J,2,J2,0.92,"Principio rampa salida centro desvio triple, hasta desvio puente",X,,,
J,1,J1,1.17,Desvio triple derecha hasta entrada estacion +65,X,pendiente conexion,,azul
K,4,K4,,,,,,
K,3,K3,0.77,Desvio puente izquierda hasta entrada estacion +65,X,pendiente conexion,,verde
K,2,K2,1.27,Puente interior,X,,,
K,1,K1,2.19,Puente exterior,X,,,
L,4,L4,0.88,Estacion +65 Via nº1 exterior,X,,,
L,3,L3,1.08,Estacion +65 Via nº2,X,,,
L,2,L2,1.19,Estacion +65 Via nº3,X,,,
L,1,L1,1.09,Estacion +65 Via nº5,X,,,
M,4,M4,1.07,Estacion +65 Via nº4,X,pendiente conexion,,
M,3,M3,0.76,Estacion +65 Via muerta,X,pendiente conexion,,
M,2,M2,0.9,Desvio derecha exterior estacion +65 hasta desvio en curva ,X,pendiente conexion,,ext
M,1,M1,0.94,Desvio derecha interior estacion +65 hasta desvio en curva ,X,pendiente conexion,,interior?
N,4,N4,,,,,,
N,3,N3,,,,,,
N,2,N2,,,,,,
N,1,N1,,,,,,
P,4,P4,,,,,,
P,3,P3,,,,,,
P,2,P2,,,,,,
P,1,P1,,,,,,
Q,4,Q4,,,,,,
Q,3,Q3,,,,,,
Q,2,Q2,,,,,,
Q,1,Q1,,,,,,
R,4,R4,,,,,,
R,3,R3,,,,,,
R,2,R2,,,,,,
R,1,R1,,,,,,
